run,step,n,bad,水面_psnr,水面_ssim,水面_lpips,水面_texratio,建築_psnr,建築_ssim,建築_lpips,建築_texratio
aggr24k_b12,24000,77616,False,29.648945808410645,0.9115625083446502,0.3003359518945217,0.12496254548711727,18.315201568603516,0.45460022389888766,0.7972862720489502,0.17044388239666972
graded_k4_24k_b12,24000,78899,False,30.051918983459473,0.9119414448738098,0.3002706289291382,0.1244634656419881,18.221476078033447,0.4535363525152206,0.7979279935359955,0.1688797704989914
b12_cap2m_reg000_exact,60000,1799999,False,31.646510314941406,0.9145345211029052,0.27628614455461503,0.23992540117311814,19.828388977050782,0.5455976992845535,0.5628408253192901,0.39651502951443496
oreg_0p002_b12,60000,900000,False,31.387745475769044,0.9159777879714965,0.2816069424152374,0.24744265186307138,20.416686534881592,0.5597149133682251,0.564699125289917,0.39183501065514487
