> ⛔ **2026-09-13 重驗後仍不可用。**
> 收割期實驗的逐列資料；舊資料集年代 => 作廢。
> 現行權威：`../研究總覽_v2.md`。

date,run,block,psnr,ssim,lpips
2026-06-06,AB_coarse_init_aerial_sh2_trim,16,21.67123794555664,0.5961064100265503,0.659449577331543
2026-06-06,AB_coarse_init_aerial_sh2_trim,7,24.06847381591797,0.6844709515571594,0.43783172965049744
2026-06-07,AB_coarse_md_aerial_sh2_trim,16,24.012041091918945,0.6591789126396179,0.5524303913116455
2026-06-06,AB_coarse_md_aerial_sh2_trim,7,22.372995376586914,0.6375047564506531,0.4955843985080719
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,0,26.990861892700195,0.7211753726005554,0.5839888453483582
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,1,25.51106834411621,0.7258742451667786,0.5671423673629761
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,10,21.882526397705078,0.6530430316925049,0.6597551107406616
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,11,21.684423446655273,0.6240817308425903,0.6647871732711792
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,12,22.01804542541504,0.6112374067306519,0.6230825781822205
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,13,21.28957748413086,0.5866869688034058,0.583855390548706
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,14,19.756549835205078,0.5693621039390564,0.6685415506362915
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,15,27.738977432250977,0.7876209616661072,0.3798292577266693
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,16,22.704177856445312,0.6427956223487854,0.5266185402870178
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,17,25.21990966796875,0.671039342880249,0.4874249994754791
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,18,26.728361129760742,0.7295097708702087,0.4401912987232208
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,19,24.306928634643555,0.706104040145874,0.4221712350845337
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,2,25.0929012298584,0.762437105178833,0.38298267126083374
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,20,22.610750198364258,0.6957823634147644,0.6267473101615906
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,21,23.927194595336914,0.6528298854827881,0.6618502140045166
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,22,22.097597122192383,0.6434537768363953,0.6693598628044128
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,23,22.588214874267578,0.672442615032196,0.592481255531311
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,24,24.811742782592773,0.6947817206382751,0.5106253027915955
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,3,20.462417602539062,0.6790570020675659,0.5195838212966919
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,4,26.254940032958984,0.7467339634895325,0.45120808482170105
