run,step,n,bad,水面_psnr,水面_ssim,水面_lpips,水面_texratio,建築_psnr,建築_ssim,建築_lpips,建築_texratio
aggr24k_v2_b12,5999,294396,False,29.007798194885254,0.9489878192543983,0.2581338742747903,0.11585795775198386,16.70957100391388,0.406241312623024,0.9496522024273872,0.06540796252433134
aggr24k_b12,24000,77616,False,31.90655517578125,0.95099937915802,0.24499094765633345,0.14303011830241125,18.15064787864685,0.43891026824712753,0.8193037137389183,0.14980915342127532
b12_cap2m_reg000_exact,60000,1799999,False,34.15776181221008,0.9518964663147926,0.2373655829578638,0.25654397956836084,19.69249176979065,0.5333320274949074,0.5658670738339424,0.39272420972664157
oreg_0p002_b12,60000,900000,False,33.61479139328003,0.9518864303827286,0.24577325582504272,0.25868165643681756,20.039170145988464,0.5409202873706818,0.580163836479187,0.3715789798330318
mcmc_sb_b12_cap1m_condense,29999,971741,True,30.71384310722351,0.9535475969314575,0.1962510347366333,0.029387719801413706,16.581753611564636,0.3984340466558933,0.9273473396897316,0.011207649996725393
