run,step,n,bad,水面_psnr,水面_ssim,水面_lpips,水面_texratio,建築_psnr,建築_ssim,建築_lpips,建築_texratio
v1clean_24k_b12,24000,77089,False,32.2347252368927,0.9515622034668922,0.24308363441377878,0.1287431974550233,18.13468360900879,0.43839727342128754,0.8254287093877792,0.144507971949066
uniform25m_24k_b12,24000,70488,False,33.101930379867554,0.9520684406161308,0.24340563733130693,0.1412619163083066,18.368213295936584,0.4522150382399559,0.831368513405323,0.15086394353736532
cap4m_b12,60000,3600000,False,33.85030746459961,0.9524009004235268,0.23862947896122932,0.2768682294036286,20.400971293449402,0.5746171772480011,0.5186624117195606,0.4551590788443984
uniform_60k_b12,60000,900000,False,34.40690994262695,0.9511794671416283,0.2483218228444457,0.2473110023618221,20.26837944984436,0.5733112394809723,0.5419849120080471,0.4116333609263177
oreg_0p002_b12,60000,900000,False,33.61479139328003,0.9518864303827286,0.24577325582504272,0.25868165643681756,20.039170145988464,0.5409202873706818,0.580163836479187,0.3715789798330318
oreg_0p0_b12,60000,900000,False,33.66313052177429,0.9519752115011215,0.24114970676600933,0.22240649521232297,19.43105959892273,0.5113050527870655,0.6039772182703018,0.33765236555233347
b12_cap2m_reg000_exact,60000,1799999,False,34.15776181221008,0.9518964663147926,0.2373655829578638,0.25654397956836084,19.69249176979065,0.5333320274949074,0.5658670738339424,0.39272420972664157
